0,1,2
1,['42' '64' '21' '92' '31'],['42' '21' '31' '64' '23']
1,['40' '42' '49'],['42' '49' '32']
1,['16' '72' '60'],['16' '72' '60']
1,['65' '97' '96'],['97' '96' '14']
